year,black_coal,brown_coal,natural_gas,oil_products,other_a,bagasse_wood,biogas,wind,hydro,large_scale_solar_PV,small_scale_solar_PV,
2009,50882.20,,9257.20,711.40,691.80,1472.10,116.40,27.30,820.20,,50.80,0.50
2010,49713.70,,12020.60,370.70,1025.90,1466.50,81.50,30.90,572.80,,121.30,0.50
2011,45864.30,,14595.30,373.70,1038.70,823.70,97.00,27.30,965.60,,400.60,0.50
2012,45417.30,,15303.40,306.00,15.70,1005.60,119.20,27.70,723.20,,760.30,0.50
2013,44415.60,,13909.50,1042.60,54.20,1117.80,121.40,30.70,684.10,,1310.20,0.50
2014,40260.70,,15454.30,959.50,,1403.00,82.80,33.70,820.90,4.01,1460.55,0.50
2015,44553.80,,18248.50,1197.20,,1550.30,91.10,32.50,649.10,5.93,1788.02,0.60
2016,48015.85,,13816.93,1199.07,,1656.28,115.48,28.41,491.72,7.33,2055.85,0.22
2017,51042.66,,12236.55,1215.94,,1291.77,118.27,28.96,672.21,34.09,2335.87,0.50
2018,53635.27,,11045.53,1047.66,,1252.90,126.50,30.27,646.12,171.47,2760.86,
2019,52120.62,,9933.92,1000.59,,1157.94,175.08,399.14,1057.31,1491.65,3330.24,
2020,48568.91,,11214.11,983.74,,1029.77,189.21,927.89,634.62,3334.52,4120.24,
2021,46248.19,,10324.41,1034.94,,1076.40,198.52,1826.04,950.20,3395.78,5160.93,na
